defined_class	defined_class_label	v0	v0_label	v1	v1_label	v2	v2_label
http://purl.obolibrary.org/obo/FBbt_00002624	abdominal 10 sensory neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00001757	larval abdominal segment 10	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00002607	abdominal 8 sensory neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00001755	larval abdominal segment 8	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00002619	abdominal 9 sensory neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00001756	larval abdominal segment 9	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00007352	antennal olfactory receptor neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00004511	antenna	http://purl.obolibrary.org/obo/GO_0050911	detection of chemical stimulus involved in sensory perception of smell
http://purl.obolibrary.org/obo/FBbt_00007334	antennal segment 3 thermosensory organ	http://purl.obolibrary.org/obo/FBbt_00005155	sense organ	http://purl.obolibrary.org/obo/FBbt_00004515	third segment of antenna	http://purl.obolibrary.org/obo/GO_0050960	detection of temperature stimulus involved in thermoception
http://purl.obolibrary.org/obo/FBbt_00100120	campaniform sensillum anterior crossvein neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00004086	campaniform sensillum of anterior crossvein	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00100122	campaniform sensillum dorsal humeral crossvein neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00004084	campaniform sensillum of dorsal humeral crossvein	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00100124	campaniform sensillum ventral humeral crossvein neuron	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00004085	campaniform sensillum of ventral humeral crossvein	http://purl.obolibrary.org/obo/GO_0050906	detection of stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00100193	chemosensory neuron of dorsal double row bristle	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100191	chemosensory dorsal double row bristle	http://purl.obolibrary.org/obo/GO_0050907	detection of chemical stimulus involved in sensory perception
http://purl.obolibrary.org/obo/FBbt_00100104	chemosensory neuron of dorsal triple row bristle	http://purl.obolibrary.org/obo/FBbt_00005106	neuron	http://purl.obolibrary.org/obo/FBbt_00100103	dorsal triple row bristle	http://purl.obolibrary.org/obo/GO_0050907	detection of chemical stimulus involved in sensory perception
