defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/FBbt_00001267	A-subperineurial glial cell of abdomen	http://purl.obolibrary.org/obo/FBbt_00001259	A-subperineurial glial cell	http://purl.obolibrary.org/obo/FBbt_00000021	abdominal segment
http://purl.obolibrary.org/obo/FBbt_00001268	A-subperineurial glial cell of abdominal segment 1	http://purl.obolibrary.org/obo/FBbt_00001267	A-subperineurial glial cell of abdomen	http://purl.obolibrary.org/obo/FBbt_00000173	embryonic abdominal segment 1
http://purl.obolibrary.org/obo/FBbt_00001269	A-subperineurial glial cell of abdominal segment 2	http://purl.obolibrary.org/obo/FBbt_00001267	A-subperineurial glial cell of abdomen	http://purl.obolibrary.org/obo/FBbt_00000174	embryonic abdominal segment 2
http://purl.obolibrary.org/obo/FBbt_00001270	A-subperineurial glial cell of abdominal segment 3	http://purl.obolibrary.org/obo/FBbt_00001267	A-subperineurial glial cell of abdomen	http://purl.obolibrary.org/obo/FBbt_00000175	embryonic abdominal segment 3
http://purl.obolibrary.org/obo/FBbt_00001271	A-subperineurial glial cell of abdominal segment 4	http://purl.obolibrary.org/obo/FBbt_00001267	A-subperineurial glial cell of abdomen	http://purl.obolibrary.org/obo/FBbt_00000176	embryonic abdominal segment 4
http://purl.obolibrary.org/obo/FBbt_00001272	A-subperineurial glial cell of abdominal segment 5	http://purl.obolibrary.org/obo/FBbt_00001267	A-subperineurial glial cell of abdomen	http://purl.obolibrary.org/obo/FBbt_00000177	embryonic abdominal segment 5
http://purl.obolibrary.org/obo/FBbt_00001273	A-subperineurial glial cell of abdominal segment 6	http://purl.obolibrary.org/obo/FBbt_00001267	A-subperineurial glial cell of abdomen	http://purl.obolibrary.org/obo/FBbt_00000178	embryonic abdominal segment 6
http://purl.obolibrary.org/obo/FBbt_00001274	A-subperineurial glial cell of abdominal segment 7	http://purl.obolibrary.org/obo/FBbt_00001267	A-subperineurial glial cell of abdomen	http://purl.obolibrary.org/obo/FBbt_00000179	embryonic abdominal segment 7
http://purl.obolibrary.org/obo/FBbt_00001275	A-subperineurial glial cell of abdominal segment 8	http://purl.obolibrary.org/obo/FBbt_00001267	A-subperineurial glial cell of abdomen	http://purl.obolibrary.org/obo/FBbt_00000180	embryonic abdominal segment 8
http://purl.obolibrary.org/obo/FBbt_00001264	A-subperineurial glial cell of thoracic segment 1	http://purl.obolibrary.org/obo/FBbt_00001263	A-subperineurial glial cell of thorax	http://purl.obolibrary.org/obo/FBbt_00000168	embryonic prothoracic segment
http://purl.obolibrary.org/obo/FBbt_00001265	A-subperineurial glial cell of thoracic segment 2	http://purl.obolibrary.org/obo/FBbt_00001263	A-subperineurial glial cell of thorax	http://purl.obolibrary.org/obo/FBbt_00000169	embryonic mesothoracic segment
http://purl.obolibrary.org/obo/FBbt_00001266	A-subperineurial glial cell of thoracic segment 3	http://purl.obolibrary.org/obo/FBbt_00001263	A-subperineurial glial cell of thorax	http://purl.obolibrary.org/obo/FBbt_00000170	embryonic metathoracic segment
http://purl.obolibrary.org/obo/FBbt_00001263	A-subperineurial glial cell of thorax	http://purl.obolibrary.org/obo/FBbt_00001259	A-subperineurial glial cell	http://purl.obolibrary.org/obo/FBbt_00000166	embryonic thorax
http://purl.obolibrary.org/obo/FBbt_00001988	A1 neuron	http://purl.obolibrary.org/obo/FBbt_00001987	abdominal neuron	http://purl.obolibrary.org/obo/FBbt_00001748	larval abdominal segment 1
http://purl.obolibrary.org/obo/FBbt_00000589	A1-7 acute muscle	http://purl.obolibrary.org/obo/FBbt_00000474	acute muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000590	A1-7 dorsal acute muscle	http://purl.obolibrary.org/obo/FBbt_00000475	dorsal acute muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00002207	A1-7 dorsal motor neuron	http://purl.obolibrary.org/obo/FBbt_00001453	RP2 motor neuron	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000608	A1-7 dorsal oblique muscle	http://purl.obolibrary.org/obo/FBbt_00000467	dorsal oblique muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000625	A1-7 dorsal transverse muscle 1	http://purl.obolibrary.org/obo/FBbt_00000471	dorsal transverse muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000600	A1-7 lateral longitudinal muscle 1	http://purl.obolibrary.org/obo/FBbt_00000481	lateral longitudinal muscle 1	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000615	A1-7 lateral oblique muscle 1	http://purl.obolibrary.org/obo/FBbt_00000468	lateral oblique muscle 1	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000626	A1-7 lateral transverse muscle	http://purl.obolibrary.org/obo/FBbt_00000472	lateral transverse muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000598	A1-7 longitudinal muscle	http://purl.obolibrary.org/obo/FBbt_00000480	longitudinal muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000607	A1-7 oblique muscle	http://purl.obolibrary.org/obo/FBbt_00000466	oblique muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000606	A1-7 segment border muscle	http://purl.obolibrary.org/obo/FBbt_00000483	segment border muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000623	A1-7 transverse muscle	http://purl.obolibrary.org/obo/FBbt_00000470	transverse muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000594	A1-7 ventral acute muscle	http://purl.obolibrary.org/obo/FBbt_00000477	ventral acute muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
http://purl.obolibrary.org/obo/FBbt_00000601	A1-7 ventral longitudinal muscle	http://purl.obolibrary.org/obo/FBbt_00000482	ventral longitudinal muscle	http://purl.obolibrary.org/obo/FBbt_00007586	larval abdominal segment A1-7
